id chrom gene_start gene_end
ENSSSCG00000060195 1 18032105 18035191
ENSSSCG00000041768 1 18073805 18076799
ENSSSCG00000057391 1 18081841 18088983
ENSSSCG00000050246 1 18096345 18100686
ENSSSCG00000052875 1 18110570 18118799
ENSSSCG00000051113 1 18130183 18136081
ENSSSCG00000062711 1 18140804 18146814
ENSSSCG00000058389 1 18149309 18154348
ENSSSCG00000063171 1 18161677 18165712
ENSSSCG00000061211 1 18173582 18177430
ENSSSCG00000052646 1 18179036 18182092
ENSSSCG00000055680 1 18182623 18188847
ENSSSCG00000052081 1 18191005 18196165
ENSSSCG00000061327 1 18216204 18221640
ENSSSCG00000055463 1 18221606 18225951
ENSSSCG00000059375 1 18221647 18225948
ENSSSCG00000048240 1 18231494 18290021
ENSSSCG00000004113 1 18345363 18513252
ENSSSCG00000047452 1 18587679 18589112
ENSSSCG00000047924 1 18625055 18628664
ENSSSCG00000041638 1 18640927 18644920
ENSSSCG00000044212 1 18679119 18682161
ENSSSCG00000043354 1 18691000 18765323
ENSSSCG00000004114 1 18870884 19029417
ENSSSCG00000060764 1 19053103 19057636
ENSSSCG00000041974 1 19057699 19061317
ENSSSCG00000052303 1 19075271 19097870
ENSSSCG00000004119 1 19183218 19572853
ENSSSCG00000004120 1 19612916 19695245
ENSSSCG00000048523 1 19734992 19737496
ENSSSCG00000004121 1 19764591 19777618
ENSSSCG00000061592 1 19806765 19893339
ENSSSCG00000062078 1 19921947 19928657
ENSSSCG00000061300 1 20080099 20083374
ENSSSCG00000055628 1 20102066 20107815
ENSSSCG00000058958 1 20118126 20124307
ENSSSCG00000055717 1 20139228 20143451
ENSSSCG00000062520 1 20162192 20165328
ENSSSCG00000052952 1 20186041 20189416
ENSSSCG00000056160 1 20217674 20221898
ENSSSCG00000057869 1 20239618 20243499
ENSSSCG00000058168 1 20281292 20286028
ENSSSCG00000054412 1 20298471 20301788
ENSSSCG00000052367 1 20301643 20304737
ENSSSCG00000057824 1 20332865 20336373
ENSSSCG00000058211 1 20342315 20347984
ENSSSCG00000061589 1 20342332 20348011
ENSSSCG00000004123 1 20514260 21048484
ENSSSCG00000057517 1 20889584 20890516
ENSSSCG00000004125 1 21127564 21159694
ENSSSCG00000061254 1 21178899 21208374
ENSSSCG00000062397 1 21231408 21231668
ENSSSCG00000061752 1 21303993 21362248
ENSSSCG00000062411 1 21350965 21354848
ENSSSCG00000004127 1 21364696 21370614
ENSSSCG00000004128 1 21373597 21413940
ENSSSCG00000040918 1 21412286 21430195
ENSSSCG00000039614 1 21422100 21426638
ENSSSCG00000054762 1 21437900 21442355
ENSSSCG00000004132 1 21443970 21722922
ENSSSCG00000020208 1 21706554 21706659
ENSSSCG00000004133 1 21742495 21762900
ENSSSCG00000004134 1 21766000 21802182
ENSSSCG00000039598 1 21801560 21824434
ENSSSCG00000052089 1 21824680 21831245
ENSSSCG00000062566 1 21853506 21856480
ENSSSCG00000061447 1 21857315 21864001
ENSSSCG00000056172 1 21857315 21864007
ENSSSCG00000062051 1 21877016 21882812
ENSSSCG00000004136 1 21913239 22165083
ENSSSCG00000047221 1 22085693 22085798
ENSSSCG00000043315 1 22213998 22239870
ENSSSCG00000060727 1 22246351 22250456
ENSSSCG00000062594 1 22281294 22283893
ENSSSCG00000056436 1 22287126 22295352
ENSSSCG00000053034 1 22316135 22321554
ENSSSCG00000063525 1 22321940 22324177
ENSSSCG00000044542 1 22330795 22339452
ENSSSCG00000052043 1 22389751 22395661
ENSSSCG00000004138 1 22412984 22436130
ENSSSCG00000053390 1 22437499 22441817
ENSSSCG00000063202 1 22648813 22655442
ENSSSCG00000004139 1 22662022 22801848
ENSSSCG00000004140 1 22859390 22923838
ENSSSCG00000034307 1 22933885 22935121
ENSSSCG00000036250 1 22972885 22988179
ENSSSCG00000049679 1 23373540 23380093
ENSSSCG00000059773 1 23668166 23673429
ENSSSCG00000052841 1 23703757 23709415
ENSSSCG00000059811 1 23752436 23757465
ENSSSCG00000059935 1 23949254 23955941
ENSSSCG00000043068 1 24052092 24054379
ENSSSCG00000043584 1 24130799 24135450
ENSSSCG00000055804 1 24175447 24179365
ENSSSCG00000059813 1 24230379 24234377
ENSSSCG00000062947 1 24242676 24246715
ENSSSCG00000055866 1 24278850 24282053
ENSSSCG00000047685 1 24317706 24323037
ENSSSCG00000060042 1 24340880 24344420
ENSSSCG00000060985 1 24356880 24360703
ENSSSCG00000059525 1 24366259 24370370
ENSSSCG00000060593 1 24373586 24378181
ENSSSCG00000049389 1 24385153 24389117
ENSSSCG00000052868 1 24397123 24402650
ENSSSCG00000041447 1 24449189 24455026
ENSSSCG00000062824 1 24806681 24812347
ENSSSCG00000063128 1 24997898 24998004
ENSSSCG00000057364 1 25088651 25093511
ENSSSCG00000055584 1 25150496 25154950
ENSSSCG00000004142 1 25155664 25160279
ENSSSCG00000052800 1 25218457 25222392
ENSSSCG00000054791 1 25218466 25222406
ENSSSCG00000004143 1 25228615 25285301
ENSSSCG00000059090 1 25291790 25298216
ENSSSCG00000004144 1 25316456 25364297
ENSSSCG00000004145 1 25367112 25447594
ENSSSCG00000004146 1 25481343 25565277
ENSSSCG00000004147 1 25566954 25644277
ENSSSCG00000004148 1 25647000 25663273
ENSSSCG00000060293 1 25675158 25676301
ENSSSCG00000056275 1 25679853 25684485
ENSSSCG00000042590 1 25695858 25700915
ENSSSCG00000059141 1 25729694 25736639
ENSSSCG00000059897 1 25741134 25742677
ENSSSCG00000063357 1 25749522 25752648
ENSSSCG00000052966 1 25761103 25764291
ENSSSCG00000061365 1 25765864 25771305
ENSSSCG00000057690 1 25771122 25776822
ENSSSCG00000060911 1 25772543 25776263
ENSSSCG00000054580 1 25780758 25785240
ENSSSCG00000062099 1 25816536 25820608
ENSSSCG00000061558 1 25819220 25822434
ENSSSCG00000058113 1 25825580 25828748
ENSSSCG00000061985 1 25832324 25837860
ENSSSCG00000059220 1 25835122 25837851
ENSSSCG00000004149 1 25852032 25987833
ENSSSCG00000020384 1 25991388 25991508
ENSSSCG00000004150 1 26001398 26011653
ENSSSCG00000048346 1 26029987 26042862
ENSSSCG00000063232 1 26037662 26037765
ENSSSCG00000004151 1 26043665 26044123
ENSSSCG00000056139 1 26069377 26075256
ENSSSCG00000022968 1 26076302 26255421
ENSSSCG00000038420 1 26301252 26317868
ENSSSCG00000004154 1 26473938 26489822
ENSSSCG00000004155 1 26800671 26801489
ENSSSCG00000004156 1 27037165 27061093
ENSSSCG00000004158 1 27073610 27091236
ENSSSCG00000061500 1 27101474 27107833
ENSSSCG00000004157 1 27137558 27172720
ENSSSCG00000004159 1 27246752 27250254
ENSSSCG00000004160 1 27257011 27346515
ENSSSCG00000020379 1 27335794 27335889
ENSSSCG00000050757 1 27346611 27377000
ENSSSCG00000026041 1 27380142 27600493
ENSSSCG00000046709 1 27392386 27395182
ENSSSCG00000039049 1 27606036 27782747
ENSSSCG00000004163 1 27872183 27902974
ENSSSCG00000004164 1 27908824 28015101
ENSSSCG00000004165 1 27958270 28302666
ENSSSCG00000020601 1 28261538 28261666
ENSSSCG00000061879 1 28320909 28327008
ENSSSCG00000053009 1 28491179 28497751
ENSSSCG00000052439 1 28511042 28514334
ENSSSCG00000004166 1 28566397 28760467
ENSSSCG00000056679 1 28789693 28795531
ENSSSCG00000004167 1 28819503 28856999
ENSSSCG00000056274 1 28906948 28907307
ENSSSCG00000060550 1 28968905 28988389
ENSSSCG00000004169 1 29018351 29052423
ENSSSCG00000028115 1 29060701 29083143
ENSSSCG00000004170 1 29104586 29109020
ENSSSCG00000049766 1 29186768 29330307
ENSSSCG00000019571 1 29364499 29364604
ENSSSCG00000049873 1 29366401 29369595
ENSSSCG00000062659 1 29373264 29377822
ENSSSCG00000055050 1 29386689 29390072
ENSSSCG00000051035 1 29415518 29419241
ENSSSCG00000044647 1 29594172 29599555
ENSSSCG00000021443 1 29745114 29753602
ENSSSCG00000004172 1 29836056 29901995
ENSSSCG00000022387 1 29899850 29936680
ENSSSCG00000062201 1 29969326 29974370
ENSSSCG00000033258 1 29975280 29978255
ENSSSCG00000057397 1 29991355 29996493
ENSSSCG00000046186 1 30026050 30031236
ENSSSCG00000052291 1 30176909 30181492
ENSSSCG00000034139 1 30261917 30533604
ENSSSCG00000060884 1 30911936 30917236
ENSSSCG00000004177 1 30920808 30923658
ENSSSCG00000018972 1 30921004 30921132
ENSSSCG00000018450 1 30921482 30921558
ENSSSCG00000018352 1 30922571 30922643
ENSSSCG00000004178 1 30923765 30954260
ENSSSCG00000004179 1 30961583 30970544
ENSSSCG00000004180 1 30981599 30993258
ENSSSCG00000004181 1 31000255 31024505
ENSSSCG00000019778 1 31012064 31012167
ENSSSCG00000035807 1 31048535 31049551
ENSSSCG00000004183 1 31073654 31074574
ENSSSCG00000037870 1 31083314 31084548
ENSSSCG00000004184 1 31095958 31097120
ENSSSCG00000004185 1 31104142 31105153
ENSSSCG00000037590 1 31115043 31116563
ENSSSCG00000040065 1 31124103 31125693
ENSSSCG00000059219 1 31129196 31132688
ENSSSCG00000004187 1 31132919 31141482
ENSSSCG00000004186 1 31149789 31150817
ENSSSCG00000004189 1 31161407 31162453
ENSSSCG00000004190 1 31184947 31235865
ENSSSCG00000052476 1 31252077 31255117
ENSSSCG00000018825 1 31274987 31275155
ENSSSCG00000004191 1 31282506 31367779
ENSSSCG00000056433 1 31409027 31412207
ENSSSCG00000057631 1 31433259 31437154
ENSSSCG00000054094 1 31517947 31522725
ENSSSCG00000052935 1 31528203 31534510
ENSSSCG00000052386 1 31577629 31585511
ENSSSCG00000062236 1 31582137 31588839
ENSSSCG00000004192 1 31674394 31677691
ENSSSCG00000004193 1 31722721 31796595
ENSSSCG00000054811 1 31810516 31815945
ENSSSCG00000053164 1 31845730 31850791
ENSSSCG00000025992 1 31859960 31959837
ENSSSCG00000004196 1 31959934 32001581
ENSSSCG00000004195 1 32006046 32028988
ENSSSCG00000043973 1 32037237 32051376
ENSSSCG00000062940 1 32165949 32169973
ENSSSCG00000036790 1 32221066 32362149
ENSSSCG00000004199 1 32418217 32630638
ENSSSCG00000033538 1 32635744 32645093
ENSSSCG00000004201 1 32961754 33033019
ENSSSCG00000004202 1 33146531 33195550
ENSSSCG00000004203 1 33198301 33319399
ENSSSCG00000054947 1 33320994 33327780
ENSSSCG00000004204 1 33470349 33490405
ENSSSCG00000004205 1 33527734 33717966
ENSSSCG00000058558 1 33737110 33740779
ENSSSCG00000004207 1 33766747 33834975
ENSSSCG00000033894 1 33866850 34359698
ENSSSCG00000042942 1 34073644 34078259
ENSSSCG00000049301 1 34375834 34376560
ENSSSCG00000048279 1 34440957 34442204
ENSSSCG00000004209 1 34693368 35258699
ENSSSCG00000047303 1 35240411 35244054
ENSSSCG00000024392 1 35333465 35519870
ENSSSCG00000058264 1 35533813 35537619
ENSSSCG00000004212 1 35600474 35621272
ENSSSCG00000004213 1 35628746 35637005
ENSSSCG00000061227 1 35685928 35686034
ENSSSCG00000038602 1 35694269 35744500
ENSSSCG00000004215 1 35762326 35774519
ENSSSCG00000060280 1 35779146 35783462
ENSSSCG00000004216 1 35853125 35909956
ENSSSCG00000004217 1 35909575 35926968
ENSSSCG00000004218 1 35984950 36067077
ENSSSCG00000062463 1 36162999 36168094
ENSSSCG00000053899 1 36163638 36169886
ENSSSCG00000056089 1 36189691 36193124
ENSSSCG00000059612 1 36255346 36261542
ENSSSCG00000057184 1 36685265 36695955
ENSSSCG00000052570 1 36696009 36705565
ENSSSCG00000060378 1 36715716 36721535
ENSSSCG00000059079 1 36860049 36865044
ENSSSCG00000004220 1 36940334 37002056
ENSSSCG00000004221 1 37008504 37023935
ENSSSCG00000059265 1 37024295 37030588
ENSSSCG00000058128 1 37031315 37035124
ENSSSCG00000004222 1 37043805 37193958
ENSSSCG00000050451 1 37198625 37202531
ENSSSCG00000004223 1 37219883 37231385
ENSSSCG00000058657 1 37372246 37373457
ENSSSCG00000063217 1 37446778 37449879
ENSSSCG00000004224 1 37640656 37662778
ENSSSCG00000004225 1 37667150 37761760
ENSSSCG00000055354 1 37783492 37787563
ENSSSCG00000021149 1 37788472 37912122
ENSSSCG00000058521 1 37912370 38009380
ENSSSCG00000048747 1 37912658 37914592
ENSSSCG00000051186 1 37916383 37918877
ENSSSCG00000036607 1 38014255 39040605
ENSSSCG00000059697 1 38460085 38461659
ENSSSCG00000060549 1 38871776 38876530
ENSSSCG00000059108 1 39170631 39175226
ENSSSCG00000027613 1 39180913 39567240
ENSSSCG00000056229 1 39224796 39224902
ENSSSCG00000058526 1 39676491 39679566
ENSSSCG00000004232 1 39682689 39752486
ENSSSCG00000004233 1 39848648 39868731
ENSSSCG00000004234 1 39871537 39876397
ENSSSCG00000004236 1 39913760 40022713
ENSSSCG00000004237 1 40099328 40141541
ENSSSCG00000004238 1 40147164 40180297
ENSSSCG00000063337 1 40505177 40508613
ENSSSCG00000058967 1 40577575 40582753
ENSSSCG00000043582 1 40662415 40697821
ENSSSCG00000028308 1 40854764 40856799
ENSSSCG00000004241 1 40988528 41002156
ENSSSCG00000004242 1 41057838 41265375
ENSSSCG00000062347 1 41768564 41771898
ENSSSCG00000063225 1 41784003 41789407
ENSSSCG00000059734 1 41849853 41854700
ENSSSCG00000061474 1 41849861 41853939
ENSSSCG00000052772 1 41903165 41905568
ENSSSCG00000062778 1 41993647 41998544
ENSSSCG00000062667 1 42106456 42109822
ENSSSCG00000057815 1 42446852 42451812
ENSSSCG00000004243 1 42544248 42545383
ENSSSCG00000004244 1 42729722 42896283
ENSSSCG00000004245 1 43003390 43113631
ENSSSCG00000004246 1 43171892 43269169
ENSSSCG00000004247 1 43200415 43214913
ENSSSCG00000054004 1 43289329 43293790
ENSSSCG00000056940 1 43313989 43320220
ENSSSCG00000060433 1 43317752 43324741
ENSSSCG00000052010 1 43323772 43326929
ENSSSCG00000062752 1 43330588 43333639
ENSSSCG00000004249 1 43392645 43563695
ENSSSCG00000044405 1 43416587 43421001
ENSSSCG00000062089 1 43449354 43458925
ENSSSCG00000043532 1 43565036 43583553
ENSSSCG00000020423 1 43628677 43628800
ENSSSCG00000004250 1 43653460 43837390
ENSSSCG00000055064 1 43898657 43901287
ENSSSCG00000045405 1 44151339 44154814
ENSSSCG00000020885 1 44156778 44186194
ENSSSCG00000004252 1 44204550 44229727
ENSSSCG00000004253 1 44239383 44287198
ENSSSCG00000004254 1 44276675 44373687
ENSSSCG00000026978 1 44410351 44534874
ENSSSCG00000045461 1 44505565 44547070
ENSSSCG00000004255 1 44549412 44557797
ENSSSCG00000063275 1 44557923 44621795
ENSSSCG00000041223 1 44630176 44632835
ENSSSCG00000062515 1 44695923 44702494
ENSSSCG00000039333 1 44765451 44823510
ENSSSCG00000019126 1 44836936 44837050
ENSSSCG00000060554 1 44846622 44851712
ENSSSCG00000053030 1 44854512 44874777
ENSSSCG00000053772 1 44879531 44884746
ENSSSCG00000038522 1 44889665 44897571
ENSSSCG00000004261 1 44899219 44899545
ENSSSCG00000004262 1 44900497 44938947
ENSSSCG00000004263 1 44939951 44961145
ENSSSCG00000023834 1 44963886 44985202
ENSSSCG00000032533 1 45010227 45026102
ENSSSCG00000062408 1 45161981 45165193
ENSSSCG00000025941 1 45170468 45180289
ENSSSCG00000035259 1 45219448 45296401
ENSSSCG00000058693 1 45342451 45342642
ENSSSCG00000056194 1 45396643 45399910
ENSSSCG00000059792 1 45577597 45582797
ENSSSCG00000049526 1 46070671 46075967
ENSSSCG00000058291 1 46332465 46334007
ENSSSCG00000004269 1 46531662 46649722
ENSSSCG00000020480 1 47233226 47233330
ENSSSCG00000043187 1 47314290 47314401
ENSSSCG00000063379 1 47518750 47523776
ENSSSCG00000060802 1 48704318 48709773
ENSSSCG00000047735 1 48714397 48885721
ENSSSCG00000046711 1 48755552 48759132
ENSSSCG00000054924 1 48788853 48788959
ENSSSCG00000048270 1 48870497 48872159
ENSSSCG00000004270 1 48886491 49619769
ENSSSCG00000063060 1 49086341 49086447
ENSSSCG00000057794 1 49849909 49855609
ENSSSCG00000004272 1 49868613 49977965
ENSSSCG00000061940 1 50022721 50024204
ENSSSCG00000044472 1 50045065 50399969
ENSSSCG00000004274 1 50403361 50498332
ENSSSCG00000062081 1 50513582 50519104
ENSSSCG00000055234 1 50535895 50540876
ENSSSCG00000004275 1 50579715 50716357
ENSSSCG00000051834 1 50721685 50738335
ENSSSCG00000004276 1 50781689 50942991
ENSSSCG00000026246 1 50938251 51041583
ENSSSCG00000057711 1 51116311 51121349
ENSSSCG00000057808 1 51141775 51147118
ENSSSCG00000058784 1 51192594 51193253
ENSSSCG00000004279 1 51313016 51332327
ENSSSCG00000052938 1 51335394 51338869
ENSSSCG00000058397 1 51360896 51363966
ENSSSCG00000061089 1 51369469 51416164
ENSSSCG00000019520 1 51383782 51383861
ENSSSCG00000062109 1 51390533 51395531
ENSSSCG00000058535 1 51393127 51394819
ENSSSCG00000042663 1 51398720 51405906
ENSSSCG00000019941 1 51412827 51412933
ENSSSCG00000020544 1 51448674 51448808
ENSSSCG00000004280 1 51785495 52244934
ENSSSCG00000018440 1 51828437 51828524
ENSSSCG00000051808 1 51941782 51941888
ENSSSCG00000061122 1 52346488 52351468
ENSSSCG00000004281 1 52435235 52939823
ENSSSCG00000046325 1 52725754 52731611
ENSSSCG00000053554 1 52944189 52945359
ENSSSCG00000060021 1 52952251 52957095
ENSSSCG00000050380 1 52964948 52966456
ENSSSCG00000004283 1 52986462 52987590
ENSSSCG00000058051 1 52996822 52999185
ENSSSCG00000004285 1 53006761 53007877
ENSSSCG00000004287 1 53021023 53039019
ENSSSCG00000022994 1 53092036 53191212
ENSSSCG00000026943 1 53256006 53318107
ENSSSCG00000004289 1 53332436 53442399
ENSSSCG00000004290 1 53838189 53867254
ENSSSCG00000031194 1 53866570 53866954
ENSSSCG00000056220 1 53870812 53877246
ENSSSCG00000055243 1 53903075 53908034
ENSSSCG00000044217 1 53913972 53919254
ENSSSCG00000062121 1 53935579 53940870
ENSSSCG00000041858 1 53945719 53985482
ENSSSCG00000041113 1 53958105 53962020
ENSSSCG00000060869 1 54057109 54063546
ENSSSCG00000057321 1 54080035 54085179
ENSSSCG00000057761 1 54345815 54350933
ENSSSCG00000004291 1 54400810 54448742
ENSSSCG00000004293 1 54460640 54547216
